"X1","Area","Length","Width","Area","Length","Width","Area","Length","Width"
"BLOCK1G4",26.4214,11.5408,3.2063,27.3065,11.494,3.3455,15.5077296,0.474117955555555,0.148681788888889
"BLOCK1G41",26.0722,11.7021,3.0908,25.225,11.601,3.052,21.7401490666667,0.477956544444445,0.172984844444444
"BLOCK1G42",22.2659,11.0748,2.8258,22.8855,11.16,2.892,13.8384494333333,0.302425955555555,0.109769066666667
"BLOCK1G43",24.6462,11.1306,3.1035,23.899,11.188,3.0175,14.3664804,0.721640488888889,0.0653858333333333
"BLOCK1G43N2",22.4844,10.646,2.9516,23.469,10.501,3.03,8.55184737777778,0.620836666666667,0.0708064888888889
"BLOCK1G44",20.4704,10.9274,2.69,20.7645,10.8895,2.7315,13.6456776,0.458807155555556,0.118680666666667
"BLOCK1G45",22.6701111111111,10.2085555555556,3.13977777777778,22.867,10.45,2.991,23.7507418611111,0.622875027777778,0.200590694444444
"BLOCK1G46",25.4005,12.2812,3.0123,25.584,12.128,3.022,11.8179253888889,0.416768177777778,0.0772380111111111
"BLOCK1G48",24.7908,11.0212,3.2203,24.7885,10.936,3.123,16.8047564,0.466483955555555,0.181504011111111
"BLOCK1G49",25.3582,12.1932,2.9535,26.115,12.241,3.0045,14.8297752888889,0.371098622222222,0.0829120555555556
"BLOCK1G50",26.762,11.7985,3.2316,26.5905,11.848,3.174,22.7324,0.291099388888889,0.188061377777778
"BLOCK1G51",25.2569,11.3362,3.1684,25.347,11.101,3.224,25.1448843222222,0.503675955555555,0.227590933333333
"BLOCK1G51N2",22.7544,10.5772,3.0881,22.6635,10.715,3.0305,4.99212626666667,0.274187511111111,0.0371909888888889
"BLOCK1G52",22.6966,10.6581,2.9807,23.2615,10.74,3.018,14.5169458222222,0.5700821,0.0853580111111111
"BLOCK1G52N2",21.136,10.5209,2.8341,19.719,10.5225,2.719,18.7769706666667,0.543192544444444,0.140743433333333
"BLOCK1G53",22.6328,11.4756,2.735,22.4075,11.459,2.7295,6.68197173333333,0.342107822222222,0.033518
"BLOCK1G53N2",23.571,11.6228,2.7616,22.987,11.622,2.7645,9.214,0.478887288888889,0.0746282666666666
"BLOCK1G54",24.1114,11.5245,3.0058,24.539,11.4435,3.072,7.68686204444445,0.272653611111111,0.0647792888888889
